Age,Gender,Income (AED),Employment Status,Location in Dubai,Skincare Purchase Frequency,Average Monthly Spend (AED),Skincare Products Used,Purchase Influencers,Skin Concerns,Follow Influencer Recommendations,Trusted Influencer Tier,Preferred Platform,Persuasive Ad Format,Browse Time,Purchased After Influencer Promotion,Max Willingness to Spend (AED),Willingness to Try New Brand,Purchase Discouragement Factors,Number of Skincare Influencers Followed,Interest in Curated Skincare Box,Willing to Pay Premium,One Platform for Shopping Inspiration,Influencer Marketing Trust Score (1–5),Favorite Influencer or Brand
23,Male,"Below 5,000",Unemployed,Other,Rarely,69,"Sunscreens, Serums","Social Media Influencers, Brand, Friends & Family","Dark Spots, Uneven Tone, Oily Skin, Acne",Often,Mega,Instagram,Short Reels,Morning,No,385,Likely,Lack of Trust,6–10,No,Yes,YouTube,5,Miranda Beauty
29,Female,"10,000–20,000",Unemployed,Downtown,Quarterly,164,"Moisturizers, Face Masks, Anti-aging Products, Sunscreens","Dermatologist Recommendations, Social Media Influencers, Packaging","Dryness, Wrinkles",Sometimes,Mega,YouTube,Static Image Post,Morning,No,342,Neutral,"Not Suitable for My Skin, No Visible Results, Price Too High",11–20,Yes,Yes,YouTube,4,Nicholas Beauty
34,Female,"5,000–10,000",Working Professional,Dubai Marina,Monthly,70,"Serums, Cleansers","Brand, Price","Uneven Tone, Oily Skin, Dryness",Often,Macro,Instagram,Short Reels,Evening,No,265,Likely,No Visible Results,6–10,Maybe,No,YouTube,4,George Beauty
36,Non-binary,"10,000–20,000",Student,Jumeirah,Quarterly,124,"Serums, Face Masks","Product Reviews, Dermatologist Recommendations",Dryness,Often,None,TikTok,Full-Length Video,Afternoon,Yes,213,Very Unlikely,"Lack of Trust, Price Too High",1–5,Yes,Yes,YouTube,5,Courtney Beauty
20,Male,"Below 5,000",Working Professional,Other,Quarterly,173,"Serums, Face Masks","Product Reviews, Brand","Dryness, Wrinkles, Acne",Always,None,Instagram,Story,Morning,No,310,Very Likely,"No Visible Results, Price Too High, Lack of Trust",11–20,Maybe,No,TikTok,3,Jeremy Beauty
27,Female,"20,000–35,000",Student,Jumeirah,Monthly,61,"Serums, Cleansers, Anti-aging Products","Dermatologist Recommendations, Social Media Influencers","Oily Skin, Wrinkles, Uneven Tone",Always,Micro,Instagram,Full-Length Video,Afternoon,Yes,176,Very Likely,No Visible Results,1–5,Maybe,No,TikTok,3,Jose Beauty
26,Male,"Below 5,000",Working Professional,Jumeirah,Monthly,133,"Moisturizers, Cleansers, Face Masks","Product Reviews, Friends & Family, Brand","Wrinkles, Dryness, Oily Skin, Uneven Tone",Often,None,Instagram,Short Reels,Late Night,No,285,Likely,Price Too High,None,Yes,Depends on brand & value,YouTube,1,Linda Beauty
24,Male,"20,000–35,000",Working Professional,Bur Dubai,Monthly,79,"Anti-aging Products, Serums, Moisturizers, Cleansers","Packaging, Social Media Influencers, Price","Wrinkles, Dark Spots",Sometimes,Celebrity,YouTube,Short Reels,Afternoon,Yes,287,Unlikely,"Too Many Promotions, No Visible Results, Lack of Trust",11–20,Maybe,Yes,Instagram,5,Luis Beauty
44,Female,"20,000–35,000",Student,Bur Dubai,Monthly,379,"Sunscreens, Moisturizers, Cleansers","Brand, Social Media Influencers","Wrinkles, Oily Skin, Uneven Tone",Often,Mega,Instagram,Short Reels,Afternoon,Yes,329,Very Likely,"Lack of Trust, Price Too High, Not Suitable for My Skin",1–5,Maybe,No,TikTok,5,William Beauty
33,Male,"10,000–20,000",Working Professional,Bur Dubai,Monthly,116,"Serums, Sunscreens","Product Reviews, Dermatologist Recommendations","Dark Spots, Dryness, Uneven Tone, Acne",Sometimes,Mega,YouTube,Static Image Post,Evening,Yes,456,Neutral,"No Visible Results, Too Many Promotions",6–10,Yes,No,TikTok,2,Amy Beauty
19,Male,"10,000–20,000",Working Professional,Jumeirah,Weekly,213,"Anti-aging Products, Serums","Price, Brand","Uneven Tone, Acne, Wrinkles, Dryness",Rarely,Macro,Facebook,Static Image Post,Evening,No,279,Very Likely,"Not Suitable for My Skin, Lack of Trust, No Visible Results",6–10,No,Yes,Instagram,4,Kenneth Beauty
37,Female,"10,000–20,000",Working Professional,Bur Dubai,Quarterly,129,"Anti-aging Products, Face Masks, Cleansers, Moisturizers","Friends & Family, Brand, Packaging","Oily Skin, Dryness",Sometimes,Micro,Facebook,Story,Afternoon,No,211,Likely,"No Visible Results, Lack of Trust",None,Maybe,Depends on brand & value,YouTube,4,Gregory Beauty
46,Male,"10,000–20,000",Student,Other,Monthly,54,"Moisturizers, Serums, Anti-aging Products","Price, Social Media Influencers, Product Reviews","Dryness, Oily Skin",Sometimes,None,YouTube,Short Reels,Morning,No,248,Very Likely,Too Many Promotions,11–20,No,Depends on brand & value,Instagram,2,Tracy Beauty
38,Female,"20,000–35,000",Working Professional,Downtown,Monthly,150,"Anti-aging Products, Serums, Cleansers","Product Reviews, Price, Social Media Influencers",Dark Spots,Never,Micro,Instagram,Full-Length Video,Morning,Yes,117,Very Unlikely,"Price Too High, Not Suitable for My Skin",None,Maybe,Depends on brand & value,TikTok,5,Melissa Beauty
18,Prefer not to say,"20,000–35,000",Working Professional,Deira,Monthly,352,"Cleansers, Serums, Sunscreens, Face Masks","Dermatologist Recommendations, Brand","Oily Skin, Uneven Tone",Often,Micro,Instagram,Story,Morning,No,197,Very Likely,Too Many Promotions,1–5,Yes,Yes,TikTok,3,Robert Beauty
26,Prefer not to say,"10,000–20,000",Working Professional,Downtown,Monthly,142,"Sunscreens, Serums","Social Media Influencers, Dermatologist Recommendations, Packaging","Wrinkles, Acne, Dryness, Oily Skin",Never,Celebrity,YouTube,Static Image Post,Late Night,No,219,Neutral,"Too Many Promotions, Price Too High",None,No,Depends on brand & value,TikTok,2,Phyllis Beauty
40,Male,"20,000–35,000",Working Professional,Dubai Marina,Monthly,221,"Anti-aging Products, Face Masks, Moisturizers","Brand, Product Reviews","Oily Skin, Acne",Often,Macro,Instagram,Static Image Post,Afternoon,No,210,Neutral,Price Too High,1–5,Maybe,Yes,TikTok,4,Joseph Beauty
24,Male,"10,000–20,000",Student,Jumeirah,Monthly,265,"Cleansers, Face Masks, Sunscreens, Serums","Social Media Influencers, Price","Dark Spots, Acne, Oily Skin, Uneven Tone",Always,Macro,Instagram,Story,Afternoon,No,261,Likely,"Too Many Promotions, Price Too High",6–10,Yes,No,TikTok,4,Alexis Beauty
33,Male,"5,000–10,000",Student,Bur Dubai,Rarely,75,"Face Masks, Sunscreens","Social Media Influencers, Brand, Friends & Family",Oily Skin,Sometimes,Macro,TikTok,Static Image Post,Evening,Yes,188,Neutral,Lack of Trust,6–10,No,Yes,YouTube,1,Seth Beauty
36,Non-binary,"10,000–20,000",Working Professional,Dubai Marina,Monthly,73,"Cleansers, Serums","Dermatologist Recommendations, Price",Acne,Sometimes,Macro,Instagram,Full-Length Video,Evening,No,334,Likely,No Visible Results,More than 20,Yes,Depends on brand & value,YouTube,4,Sharon Beauty
22,Female,"5,000–10,000",Unemployed,Jumeirah,Weekly,144,"Serums, Face Masks, Cleansers","Brand, Price, Social Media Influencers","Wrinkles, Dark Spots, Dryness, Acne",Often,Celebrity,TikTok,Static Image Post,Afternoon,No,250,Likely,"Not Suitable for My Skin, No Visible Results",None,No,Yes,YouTube,4,Adrian Beauty
29,Female,"Below 5,000",Working Professional,Downtown,Weekly,102,"Sunscreens, Moisturizers, Cleansers","Dermatologist Recommendations, Friends & Family, Product Reviews","Dark Spots, Dryness, Wrinkles",Rarely,Macro,Snapchat,Full-Length Video,Afternoon,No,249,Likely,No Visible Results,6–10,Maybe,Yes,TikTok,2,Carol Beauty
18,Male,"5,000–10,000",Working Professional,Deira,Quarterly,233,"Anti-aging Products, Moisturizers, Face Masks, Serums","Brand, Dermatologist Recommendations","Dark Spots, Uneven Tone",Often,Micro,Instagram,Story,Afternoon,Yes,225,Likely,"Lack of Trust, Too Many Promotions, Price Too High",6–10,Maybe,Depends on brand & value,YouTube,3,Douglas Beauty
21,Male,"20,000–35,000",Homemaker,Jumeirah,Rarely,280,"Face Masks, Cleansers","Friends & Family, Brand","Acne, Wrinkles",Sometimes,Mega,Instagram,Full-Length Video,Afternoon,No,261,Likely,No Visible Results,6–10,Yes,Yes,Instagram,4,Kristina Beauty
27,Female,"5,000–10,000",Working Professional,Other,Weekly,93,"Serums, Face Masks, Moisturizers, Sunscreens","Brand, Social Media Influencers, Friends & Family","Wrinkles, Oily Skin, Acne",Often,Macro,TikTok,Short Reels,Afternoon,Yes,311,Likely,"No Visible Results, Too Many Promotions, Lack of Trust",1–5,No,No,Instagram,3,Bradley Beauty
20,Female,"20,000–35,000",Working Professional,Bur Dubai,Monthly,77,"Sunscreens, Anti-aging Products","Packaging, Dermatologist Recommendations, Friends & Family","Dark Spots, Acne",Sometimes,Mega,TikTok,Static Image Post,Late Night,No,184,Likely,"Price Too High, Lack of Trust, Not Suitable for My Skin",1–5,Yes,No,Instagram,5,Stacey Beauty
43,Female,"10,000–20,000",Homemaker,Deira,Monthly,201,"Face Masks, Serums, Sunscreens","Brand, Product Reviews, Dermatologist Recommendations","Wrinkles, Oily Skin",Rarely,Macro,TikTok,Static Image Post,Afternoon,Yes,200,Neutral,"Lack of Trust, No Visible Results, Not Suitable for My Skin",1–5,No,No,YouTube,5,Ashley Beauty
18,Prefer not to say,"5,000–10,000",Homemaker,Jumeirah,Weekly,82,"Cleansers, Sunscreens","Product Reviews, Brand",Dryness,Often,Mega,Instagram,Short Reels,Afternoon,Yes,227,Very Likely,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,No,Depends on brand & value,YouTube,5,Cynthia Beauty
26,Female,"5,000–10,000",Unemployed,Jumeirah,Quarterly,222,"Serums, Anti-aging Products, Cleansers","Packaging, Product Reviews","Dryness, Wrinkles",Sometimes,Celebrity,Facebook,Full-Length Video,Late Night,No,149,Neutral,Price Too High,6–10,No,No,TikTok,3,Krystal Beauty
31,Male,"10,000–20,000",Student,Other,Monthly,105,"Anti-aging Products, Face Masks, Sunscreens","Packaging, Dermatologist Recommendations","Uneven Tone, Acne, Wrinkles, Dryness",Often,Macro,TikTok,Short Reels,Afternoon,Yes,188,Very Likely,"Price Too High, Too Many Promotions, No Visible Results",6–10,Maybe,Yes,YouTube,5,Ray Beauty
41,Female,"10,000–20,000",Working Professional,Dubai Marina,Monthly,160,"Face Masks, Sunscreens, Cleansers","Friends & Family, Product Reviews, Dermatologist Recommendations",Dryness,Sometimes,None,YouTube,Short Reels,Late Night,No,214,Neutral,Lack of Trust,None,Maybe,Depends on brand & value,YouTube,4,Steven Beauty
18,Male,"10,000–20,000",Unemployed,Dubai Marina,Monthly,60,"Serums, Cleansers","Brand, Product Reviews","Acne, Uneven Tone, Dark Spots, Dryness",Never,None,Instagram,Static Image Post,Afternoon,No,315,Very Unlikely,"No Visible Results, Not Suitable for My Skin",1–5,Maybe,Depends on brand & value,Instagram,3,Denise Beauty
39,Female,"5,000–10,000",Working Professional,Dubai Marina,Quarterly,147,"Serums, Moisturizers","Social Media Influencers, Packaging","Acne, Wrinkles",Sometimes,None,TikTok,Static Image Post,Afternoon,No,269,Very Unlikely,"Not Suitable for My Skin, Lack of Trust, Price Too High",11–20,Maybe,Depends on brand & value,Instagram,2,Stephen Beauty
30,Non-binary,"10,000–20,000",Working Professional,Downtown,Quarterly,110,"Cleansers, Anti-aging Products, Moisturizers","Packaging, Product Reviews, Brand","Wrinkles, Uneven Tone",Sometimes,Celebrity,YouTube,Story,Morning,No,264,Neutral,Too Many Promotions,6–10,Yes,Yes,TikTok,2,Peter Beauty
22,Male,"5,000–10,000",Unemployed,Jumeirah,Monthly,138,"Cleansers, Moisturizers, Serums","Social Media Influencers, Dermatologist Recommendations, Price","Wrinkles, Acne, Uneven Tone",Rarely,Mega,TikTok,Static Image Post,Afternoon,No,313,Very Unlikely,Price Too High,1–5,Maybe,Yes,TikTok,4,Joy Beauty
33,Male,"10,000–20,000",Unemployed,Jumeirah,Monthly,68,"Moisturizers, Face Masks","Packaging, Product Reviews, Social Media Influencers",Dark Spots,Sometimes,Macro,TikTok,Static Image Post,Afternoon,Yes,239,Very Unlikely,"Lack of Trust, No Visible Results, Not Suitable for My Skin",6–10,No,Depends on brand & value,YouTube,4,Deborah Beauty
31,Male,"5,000–10,000",Working Professional,Dubai Marina,Monthly,183,"Cleansers, Sunscreens, Serums, Face Masks","Dermatologist Recommendations, Social Media Influencers, Packaging","Dark Spots, Dryness, Uneven Tone, Acne",Sometimes,Mega,Instagram,Story,Afternoon,Yes,279,Very Likely,"Too Many Promotions, Lack of Trust, Price Too High",6–10,Maybe,Yes,TikTok,3,Taylor Beauty
25,Female,"10,000–20,000",Working Professional,Bur Dubai,Weekly,248,"Moisturizers, Serums, Sunscreens, Anti-aging Products","Packaging, Product Reviews","Uneven Tone, Wrinkles, Oily Skin",Often,Macro,YouTube,Short Reels,Morning,Yes,242,Very Likely,"Price Too High, No Visible Results",More than 20,Yes,Yes,TikTok,4,Courtney Beauty
30,Male,"20,000–35,000",Working Professional,Downtown,Weekly,74,"Anti-aging Products, Cleansers, Sunscreens","Social Media Influencers, Friends & Family","Dark Spots, Dryness, Oily Skin, Uneven Tone",Often,Celebrity,Instagram,Full-Length Video,Evening,Yes,269,Very Likely,Not Suitable for My Skin,None,No,No,TikTok,3,Michael Beauty
26,Female,"10,000–20,000",Working Professional,Dubai Marina,Quarterly,60,"Cleansers, Anti-aging Products","Social Media Influencers, Packaging, Brand","Wrinkles, Oily Skin, Dark Spots, Dryness",Sometimes,Micro,Instagram,Short Reels,Afternoon,Yes,206,Likely,No Visible Results,1–5,No,No,YouTube,4,Scott Beauty
30,Female,"Below 5,000",Working Professional,Downtown,Monthly,52,"Face Masks, Sunscreens","Friends & Family, Price","Oily Skin, Dark Spots",Sometimes,Mega,Facebook,Story,Afternoon,No,67,Likely,"Lack of Trust, Too Many Promotions",1–5,Yes,Depends on brand & value,TikTok,3,Paula Beauty
35,Male,"Below 5,000",Working Professional,Jumeirah,Monthly,152,"Face Masks, Sunscreens, Anti-aging Products","Packaging, Friends & Family","Dark Spots, Uneven Tone, Acne",Sometimes,Celebrity,YouTube,Story,Afternoon,No,239,Very Likely,"Not Suitable for My Skin, No Visible Results",1–5,No,No,YouTube,5,Kyle Beauty
42,Female,"10,000–20,000",Homemaker,Downtown,Monthly,143,"Face Masks, Anti-aging Products, Serums","Brand, Social Media Influencers","Uneven Tone, Acne",Often,Celebrity,YouTube,Short Reels,Morning,Yes,356,Very Likely,"Not Suitable for My Skin, No Visible Results, Price Too High",None,Yes,No,YouTube,5,Cheryl Beauty
20,Male,"5,000–10,000",Working Professional,Jumeirah,Quarterly,129,"Sunscreens, Face Masks, Moisturizers","Dermatologist Recommendations, Price, Friends & Family","Wrinkles, Uneven Tone, Dark Spots",Sometimes,Mega,Instagram,Static Image Post,Afternoon,Yes,319,Likely,"Lack of Trust, Price Too High, Not Suitable for My Skin",None,Maybe,Depends on brand & value,YouTube,4,Melinda Beauty
47,Female,"20,000–35,000",Student,Downtown,Weekly,76,"Moisturizers, Sunscreens, Anti-aging Products","Packaging, Dermatologist Recommendations, Price","Dryness, Acne",Rarely,Macro,TikTok,Story,Morning,Yes,322,Very Likely,Lack of Trust,11–20,Yes,Depends on brand & value,TikTok,3,Joshua Beauty
18,Non-binary,"10,000–20,000",Working Professional,Downtown,Weekly,99,"Sunscreens, Anti-aging Products, Cleansers","Price, Dermatologist Recommendations","Dark Spots, Oily Skin, Acne, Dryness",Often,Micro,Instagram,Full-Length Video,Late Night,No,342,Very Likely,"Lack of Trust, Not Suitable for My Skin",6–10,Yes,No,TikTok,3,Doris Beauty
28,Female,"35,000 and above",Working Professional,Downtown,Monthly,140,"Sunscreens, Anti-aging Products","Dermatologist Recommendations, Friends & Family, Social Media Influencers","Dark Spots, Wrinkles, Dryness",Always,Macro,TikTok,Short Reels,Evening,Yes,256,Very Likely,"Lack of Trust, Not Suitable for My Skin",1–5,Maybe,Depends on brand & value,TikTok,5,Kyle Beauty
34,Male,"20,000–35,000",Working Professional,Other,Monthly,118,"Moisturizers, Face Masks, Anti-aging Products","Social Media Influencers, Dermatologist Recommendations, Packaging","Acne, Dryness",Sometimes,Micro,Instagram,Story,Afternoon,Yes,264,Very Unlikely,"Price Too High, Not Suitable for My Skin, No Visible Results",More than 20,No,Yes,Instagram,3,Mark Beauty
32,Male,"5,000–10,000",Working Professional,Deira,Monthly,490,"Face Masks, Sunscreens, Moisturizers, Cleansers","Packaging, Dermatologist Recommendations","Oily Skin, Wrinkles",Often,Macro,Instagram,Short Reels,Evening,Yes,203,Unlikely,"Too Many Promotions, No Visible Results",6–10,Maybe,Yes,Instagram,3,Sandra Beauty
25,Male,"10,000–20,000",Working Professional,Other,Monthly,64,"Anti-aging Products, Moisturizers, Face Masks, Cleansers","Friends & Family, Price","Oily Skin, Wrinkles, Uneven Tone",Sometimes,Macro,TikTok,Static Image Post,Afternoon,No,226,Likely,Too Many Promotions,6–10,Maybe,Depends on brand & value,Instagram,2,Jose Beauty
28,Male,"5,000–10,000",Unemployed,Bur Dubai,Monthly,168,"Cleansers, Sunscreens","Product Reviews, Dermatologist Recommendations",Dark Spots,Sometimes,Micro,Instagram,Static Image Post,Afternoon,No,296,Likely,Price Too High,More than 20,Maybe,No,YouTube,4,Monica Beauty
26,Female,"5,000–10,000",Working Professional,Other,Monthly,101,"Moisturizers, Serums, Sunscreens, Anti-aging Products","Price, Dermatologist Recommendations","Wrinkles, Dryness, Dark Spots",Sometimes,Micro,Instagram,Story,Morning,No,340,Neutral,"No Visible Results, Too Many Promotions",1–5,Maybe,Yes,TikTok,4,Brittany Beauty
25,Female,"35,000 and above",Business Owner,Dubai Marina,Monthly,105,"Moisturizers, Face Masks","Social Media Influencers, Price, Product Reviews","Dryness, Dark Spots, Uneven Tone",Sometimes,None,YouTube,Short Reels,Afternoon,Yes,239,Likely,Not Suitable for My Skin,1–5,No,Yes,Instagram,5,Brandon Beauty
36,Male,"10,000–20,000",Working Professional,Other,Quarterly,176,"Cleansers, Sunscreens, Face Masks, Anti-aging Products","Social Media Influencers, Product Reviews","Dryness, Wrinkles",Never,Micro,Instagram,Story,Afternoon,No,216,Very Likely,Lack of Trust,6–10,Yes,Depends on brand & value,YouTube,3,Rebecca Beauty
32,Female,"10,000–20,000",Working Professional,Deira,Monthly,167,"Serums, Face Masks, Moisturizers","Price, Friends & Family","Oily Skin, Wrinkles",Often,Celebrity,Instagram,Short Reels,Morning,No,250,Neutral,Too Many Promotions,1–5,No,No,TikTok,3,Edward Beauty
24,Female,"10,000–20,000",Working Professional,Other,Monthly,523,"Sunscreens, Cleansers, Face Masks, Moisturizers","Product Reviews, Friends & Family","Dark Spots, Wrinkles, Uneven Tone, Oily Skin",Rarely,Micro,YouTube,Static Image Post,Afternoon,No,295,Very Likely,No Visible Results,1–5,Maybe,Yes,Instagram,5,Ashley Beauty
37,Male,"35,000 and above",Homemaker,Downtown,Rarely,63,"Moisturizers, Serums, Sunscreens","Dermatologist Recommendations, Friends & Family","Dryness, Oily Skin, Uneven Tone",Often,Micro,YouTube,Story,Morning,No,141,Likely,"Lack of Trust, Price Too High",1–5,No,Depends on brand & value,Instagram,5,Calvin Beauty
32,Male,"5,000–10,000",Business Owner,Downtown,Monthly,60,"Cleansers, Face Masks","Packaging, Dermatologist Recommendations","Oily Skin, Dryness, Dark Spots",Often,Mega,YouTube,Full-Length Video,Evening,No,77,Very Likely,"Too Many Promotions, No Visible Results",6–10,Yes,No,TikTok,3,John Beauty
36,Male,"10,000–20,000",Working Professional,Dubai Marina,Weekly,178,"Sunscreens, Anti-aging Products, Serums, Moisturizers","Friends & Family, Product Reviews","Dark Spots, Oily Skin, Wrinkles",Often,Micro,Instagram,Short Reels,Afternoon,No,208,Very Likely,Price Too High,6–10,Maybe,Yes,Instagram,4,James Beauty
35,Female,"20,000–35,000",Working Professional,Other,Weekly,136,"Anti-aging Products, Moisturizers, Serums, Face Masks","Brand, Social Media Influencers","Oily Skin, Uneven Tone, Wrinkles, Dryness",Sometimes,Micro,Instagram,Short Reels,Evening,No,158,Likely,"No Visible Results, Too Many Promotions",1–5,Yes,Yes,Instagram,3,Eddie Beauty
23,Non-binary,"20,000–35,000",Working Professional,Dubai Marina,Quarterly,82,"Cleansers, Serums, Anti-aging Products, Face Masks","Friends & Family, Social Media Influencers, Product Reviews",Uneven Tone,Rarely,Macro,YouTube,Short Reels,Afternoon,Yes,211,Likely,Not Suitable for My Skin,6–10,Maybe,Depends on brand & value,Instagram,5,Tammy Beauty
25,Female,"10,000–20,000",Working Professional,Downtown,Monthly,58,"Face Masks, Cleansers, Sunscreens, Anti-aging Products","Dermatologist Recommendations, Price",Uneven Tone,Often,Macro,YouTube,Story,Afternoon,No,238,Very Likely,Too Many Promotions,1–5,Yes,Depends on brand & value,TikTok,2,Mario Beauty
35,Female,"20,000–35,000",Working Professional,Deira,Rarely,58,"Face Masks, Moisturizers, Serums","Friends & Family, Dermatologist Recommendations, Packaging","Dark Spots, Dryness, Uneven Tone",Rarely,Micro,TikTok,Story,Morning,No,216,Very Likely,Lack of Trust,6–10,No,Yes,Instagram,5,Randall Beauty
34,Female,"20,000–35,000",Business Owner,Bur Dubai,Quarterly,274,"Cleansers, Sunscreens, Anti-aging Products","Price, Dermatologist Recommendations, Social Media Influencers","Acne, Dryness, Wrinkles",Rarely,Macro,Instagram,Short Reels,Afternoon,No,358,Likely,"Too Many Promotions, Price Too High",More than 20,Yes,Depends on brand & value,TikTok,4,Stefanie Beauty
29,Male,"10,000–20,000",Business Owner,Other,Weekly,71,"Anti-aging Products, Moisturizers, Face Masks, Serums","Brand, Social Media Influencers","Oily Skin, Dark Spots, Acne",Sometimes,Micro,YouTube,Short Reels,Afternoon,No,274,Very Likely,"Lack of Trust, Not Suitable for My Skin",11–20,Maybe,Depends on brand & value,YouTube,4,Amanda Beauty
30,Male,"10,000–20,000",Student,Deira,Weekly,89,"Cleansers, Anti-aging Products","Social Media Influencers, Brand, Product Reviews","Uneven Tone, Dark Spots, Oily Skin",Sometimes,Mega,YouTube,Static Image Post,Evening,Yes,272,Likely,Price Too High,1–5,Maybe,Yes,Instagram,1,Ronald Beauty
40,Male,"10,000–20,000",Unemployed,Downtown,Weekly,75,"Serums, Cleansers, Anti-aging Products, Face Masks","Friends & Family, Product Reviews","Dryness, Wrinkles",Sometimes,Mega,YouTube,Short Reels,Late Night,Yes,296,Unlikely,"No Visible Results, Lack of Trust, Not Suitable for My Skin",6–10,Yes,Depends on brand & value,YouTube,4,Shelby Beauty
25,Female,"10,000–20,000",Working Professional,Jumeirah,Weekly,93,"Sunscreens, Face Masks, Cleansers","Brand, Packaging","Oily Skin, Acne, Wrinkles, Uneven Tone",Often,Micro,Instagram,Short Reels,Late Night,Yes,164,Very Likely,"Too Many Promotions, Not Suitable for My Skin, Lack of Trust",1–5,Yes,Yes,YouTube,4,Douglas Beauty
34,Female,"10,000–20,000",Working Professional,Jumeirah,Quarterly,57,"Sunscreens, Serums, Moisturizers, Anti-aging Products","Brand, Price","Oily Skin, Uneven Tone",Sometimes,Macro,Facebook,Story,Evening,Yes,327,Very Likely,"No Visible Results, Lack of Trust, Too Many Promotions",6–10,Maybe,No,TikTok,3,Tara Beauty
28,Female,"10,000–20,000",Working Professional,Deira,Monthly,123,"Sunscreens, Serums, Anti-aging Products","Product Reviews, Dermatologist Recommendations","Acne, Uneven Tone, Wrinkles, Dark Spots",Often,None,YouTube,Story,Evening,Yes,244,Unlikely,No Visible Results,6–10,Maybe,Yes,YouTube,4,Michael Beauty
28,Female,"5,000–10,000",Unemployed,Bur Dubai,Weekly,57,"Sunscreens, Anti-aging Products","Dermatologist Recommendations, Price","Wrinkles, Dark Spots, Uneven Tone",Often,Micro,Facebook,Story,Afternoon,Yes,300,Very Likely,No Visible Results,6–10,Maybe,No,TikTok,5,Ashley Beauty
38,Male,"5,000–10,000",Working Professional,Dubai Marina,Monthly,211,"Sunscreens, Serums, Cleansers","Dermatologist Recommendations, Packaging, Social Media Influencers",Acne,Sometimes,Macro,Instagram,Static Image Post,Afternoon,No,169,Very Likely,Price Too High,11–20,Yes,Depends on brand & value,YouTube,4,Veronica Beauty
36,Male,"35,000 and above",Working Professional,Bur Dubai,Quarterly,76,"Anti-aging Products, Serums","Social Media Influencers, Price",Dark Spots,Rarely,Micro,Instagram,Short Reels,Evening,No,133,Very Unlikely,Price Too High,1–5,Yes,Depends on brand & value,Instagram,4,Heidi Beauty
36,Male,"10,000–20,000",Business Owner,Dubai Marina,Weekly,127,"Serums, Anti-aging Products, Sunscreens, Cleansers","Price, Dermatologist Recommendations","Oily Skin, Wrinkles, Dark Spots",Sometimes,Mega,Snapchat,Story,Afternoon,Yes,311,Likely,"Lack of Trust, Price Too High, Too Many Promotions",1–5,Yes,Yes,TikTok,2,Jason Beauty
40,Female,"5,000–10,000",Working Professional,Downtown,Monthly,262,"Serums, Anti-aging Products, Moisturizers, Sunscreens","Dermatologist Recommendations, Product Reviews","Oily Skin, Acne, Uneven Tone, Wrinkles",Sometimes,Micro,Instagram,Story,Late Night,Yes,278,Neutral,Lack of Trust,6–10,No,No,TikTok,4,Misty Beauty
30,Female,"5,000–10,000",Homemaker,Jumeirah,Weekly,155,"Cleansers, Moisturizers, Face Masks, Serums","Packaging, Product Reviews, Brand",Oily Skin,Rarely,None,Facebook,Static Image Post,Evening,No,182,Neutral,"Not Suitable for My Skin, No Visible Results, Lack of Trust",None,Maybe,Yes,Instagram,2,Travis Beauty
35,Male,"Below 5,000",Working Professional,Dubai Marina,Monthly,126,"Face Masks, Sunscreens, Cleansers","Product Reviews, Packaging, Friends & Family","Dryness, Dark Spots, Oily Skin, Uneven Tone",Always,Macro,YouTube,Story,Late Night,Yes,184,Neutral,"Price Too High, Too Many Promotions, No Visible Results",None,Maybe,No,Instagram,4,Amy Beauty
27,Female,"20,000–35,000",Working Professional,Jumeirah,Quarterly,89,"Serums, Cleansers, Face Masks, Moisturizers","Brand, Dermatologist Recommendations","Wrinkles, Acne",Sometimes,None,Instagram,Static Image Post,Late Night,No,334,Very Unlikely,"Too Many Promotions, Not Suitable for My Skin, Lack of Trust",1–5,Maybe,No,TikTok,5,Taylor Beauty
32,Male,"5,000–10,000",Student,Deira,Monthly,90,"Sunscreens, Serums, Moisturizers, Anti-aging Products","Price, Brand","Dryness, Oily Skin, Wrinkles, Uneven Tone",Sometimes,Mega,TikTok,Short Reels,Afternoon,Yes,160,Neutral,No Visible Results,11–20,Maybe,Depends on brand & value,Instagram,4,William Beauty
28,Non-binary,"20,000–35,000",Business Owner,Jumeirah,Monthly,160,"Anti-aging Products, Face Masks, Moisturizers","Brand, Dermatologist Recommendations, Price","Dark Spots, Acne, Dryness",Sometimes,Macro,Facebook,Static Image Post,Afternoon,No,373,Likely,"Price Too High, Too Many Promotions, Lack of Trust",11–20,No,Yes,Instagram,2,Nicole Beauty
30,Female,"20,000–35,000",Working Professional,Dubai Marina,Monthly,563,"Moisturizers, Serums","Social Media Influencers, Friends & Family",Dark Spots,Never,Micro,Instagram,Short Reels,Evening,Yes,182,Neutral,No Visible Results,11–20,No,Depends on brand & value,YouTube,3,Rebecca Beauty
34,Prefer not to say,"20,000–35,000",Working Professional,Bur Dubai,Monthly,158,"Face Masks, Serums, Cleansers","Brand, Packaging, Social Media Influencers","Oily Skin, Uneven Tone, Dryness",Often,Mega,Instagram,Short Reels,Evening,No,297,Very Likely,"No Visible Results, Too Many Promotions, Lack of Trust",1–5,No,Depends on brand & value,Instagram,4,Sarah Beauty
